Date,Id,Players,Time,Seconds,Link
2004-06-19,wzpp4kgz,Cyberwrath,27m 00s,1620,https://www.speedrun.com/sm64/runs/wzpp4kgz
2004-11-06,pyd26vjm,Mark Korsak,25m 17s,1517,https://www.speedrun.com/sm64/runs/pyd26vjm
2004-11-06,yodde8dm,Illudude,21m 55s,1315,https://www.speedrun.com/sm64/runs/yodde8dm
2005-05-28,9yoojqdy,kirbykarter,20m 46s,1246,https://www.speedrun.com/sm64/runs/9yoojqdy
2009-08-11,8y8oe9xm,Shigeru,18m 09s,1089,https://www.speedrun.com/sm64/runs/8y8oe9xm
2009-08-28,kz5ld0dy,taka12352,18m 03s,1083,https://www.speedrun.com/sm64/runs/kz5ld0dy
2009-08-29,0zn904vy,Shigeru,17m 49s,1069,https://www.speedrun.com/sm64/runs/0zn904vy
2009-09-16,pm3w7n6y,taka12352,17m 43s,1063,https://www.speedrun.com/sm64/runs/pm3w7n6y
2009-09-19,dy4j72qy,taka12352,17m 37s,1057,https://www.speedrun.com/sm64/runs/dy4j72qy
2009-09-24,1zq2vg9z,taka12352,17m 30s,1050,https://www.speedrun.com/sm64/runs/1zq2vg9z
2009-09-27,wzpk1d8y,taka12352,17m 25s,1045,https://www.speedrun.com/sm64/runs/wzpk1d8y
2009-09-29,7ylpq1km,Shigeru,17m 19s,1039,https://www.speedrun.com/sm64/runs/7ylpq1km
2009-12-10,9men719m,taka12352,17m 17s,1037,https://www.speedrun.com/sm64/runs/9men719m
2010-01-03,pzgjgqvz,taka12352,17m 09s,1029,https://www.speedrun.com/sm64/runs/pzgjgqvz
2010-02-03,6yjegd3m,Shigeru,17m 05s,1025,https://www.speedrun.com/sm64/runs/6yjegd3m
2010-02-26,0y6gd01m,Shigeru,16m 54s,1014,https://www.speedrun.com/sm64/runs/0y6gd01m
2010-04-23,7ylpn3mp,taka12352,16m 51s,1011,https://www.speedrun.com/sm64/runs/7ylpn3mp
2010-06-26,7z08rp4m,Shigeru,16m 41s,1001,https://www.speedrun.com/sm64/runs/7z08rp4m
2011-01-08,8yvn104m,Shigeru,16m 21s,981,https://www.speedrun.com/sm64/runs/8yvn104m
2011-01-20,8y8od85m,Shigeru,16m 15s,975,https://www.speedrun.com/sm64/runs/8y8od85m
2011-04-11,oy2nxp6y,Shigeru,16m 06s,966,https://www.speedrun.com/sm64/runs/oy2nxp6y
2011-08-11,emkogk5z,Akira,15m 54s 280ms,954.28,https://www.speedrun.com/sm64/runs/emkogk5z
2012-02-17,kz5lr2ey,batora,15m 52s 910ms,952.91,https://www.speedrun.com/sm64/runs/kz5lr2ey
2012-09-10,0y6gd0jm,Xiah,15m 52s 310ms,952.31,https://www.speedrun.com/sm64/runs/0y6gd0jm
2013-04-18,8y8od8nm,Akira,15m 44s 640ms,944.64,https://www.speedrun.com/sm64/runs/8y8od8nm
2015-01-18,9mrqdq8y,Xiah,15m 35s 760ms,935.76,https://www.speedrun.com/sm64/runs/9mrqdq8y
2015-07-15,7z09n4jz,Xiah,15m 29s 720ms,929.72,https://www.speedrun.com/sm64/runs/7z09n4jz
2015-11-24,pm3g2g6z,Akira,15m 29s 360ms,929.36,https://www.speedrun.com/sm64/runs/pm3g2g6z
2016-04-05,dy4x0k3z,Xiah,15m 28s 720ms,928.72,https://www.speedrun.com/sm64/runs/dy4x0k3z
2016-05-07,8m72x69z,Xiah,15m 24s 330ms,924.33,https://www.speedrun.com/sm64/runs/8m72x69z
2018-04-05,zgn0w00y,Weegee,15m 17s 650ms,917.65,https://www.speedrun.com/sm64/runs/zgn0w00y
2018-10-04,z03o1wez,akki,15m 16s 710ms,916.71,https://www.speedrun.com/sm64/runs/z03o1wez
2018-10-19,zg7pkjvz,Dowsky,15m 16s 060ms,916.06,https://www.speedrun.com/sm64/runs/zg7pkjvz
2018-10-21,yd3d04wz,akki,15m 08s 870ms,908.87,https://www.speedrun.com/sm64/runs/yd3d04wz
2019-05-10,z11wnxjz,akki,15m 04s 400ms,904.4,https://www.speedrun.com/sm64/runs/z11wnxjz
2019-11-17,yd6jdwxz,Dowsky,15m 04s 270ms,904.27,https://www.speedrun.com/sm64/runs/yd6jdwxz
2020-02-27,yv3klw6z,Slipperynip,15m 03s 760ms,903.76,https://www.speedrun.com/sm64/runs/yv3klw6z
